Iteração,Tempo
0,0 days 00:00:00
1,0 days 00:00:00
2,0 days 00:00:00
3,0 days 00:00:00
4,0 days 00:00:00
5,0 days 00:00:00
6,0 days 00:00:00
7,0 days 00:00:00
8,0 days 00:00:00
9,0 days 00:00:00
10,0 days 00:00:00
11,0 days 00:00:00
12,0 days 00:00:00
13,0 days 00:00:00
14,0 days 00:00:00
15,0 days 00:00:00
16,0 days 00:00:00
17,0 days 00:00:00.006047
18,0 days 00:00:00.001088
19,0 days 00:00:00
20,0 days 00:00:00
21,0 days 00:00:00.019081
22,0 days 00:00:00.007010
23,0 days 00:00:00.013046
24,0 days 00:00:00.014124
25,0 days 00:00:00.018403
26,0 days 00:00:00.027339
27,0 days 00:00:00.035066
28,0 days 00:00:00.036754
29,0 days 00:00:00.151727
30,0 days 00:00:00.173283
31,0 days 00:00:00.242778
32,0 days 00:00:00.184529
33,0 days 00:00:00.468612
34,0 days 00:00:00.350839
35,0 days 00:00:00.844159
36,0 days 00:00:01.217474
37,0 days 00:00:01.467404
38,0 days 00:00:01.349099
39,0 days 00:00:02.538102
40,0 days 00:00:02.495117
41,0 days 00:00:04.868465
42,0 days 00:00:05.001823
43,0 days 00:00:10.236943
44,0 days 00:00:09.753489
45,0 days 00:00:19.074165
46,0 days 00:00:17.739558
47,0 days 00:00:35.143679
48,0 days 00:00:33.998956
49,0 days 00:01:02.539837
